Names,2002,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2003,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2004,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2005,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2006,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2007,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2008,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2009,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2010,LL,UL,CI,SAMPLE SIZE,TARGET,2011,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2012,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2013,LL,UL,CI,SAMPLE SIZE,TARGET,2014,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2015,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2016,LL,UL,CI,SAMPLE SIZE,TARGET
Alabama,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,7.0,4.0,12.1,(±3.9),269,,NaN,31.5,25.2,38.6,(±6.7),254,,NaN,58.9,52.4,65.1,(±6.4),339,,NaN,75.2,67.2,81.8,(±7.3),249,,NaN,80.4,75.5,84.5,(±4.5),336,,84.8,80.0,88.6,(±4.3),399,,NaN,83.3,77.0,88.1,(±5.6),265,,NaN,85.9,79.2,90.7,(±5.7),166,,85.5,76.8,91.3,(±7.1),237,,NaN,88.9,82.6,93.2,(±5.2),272,,NaN,88.8,82.2,93.1,(±5.4),249,
AL-Jefferson County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
AL-Rest of State,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,7.0,4.0,12.1,(±3.9),269,,NaN,31.5,25.2,38.6,(±6.7),254,,NaN,58.9,52.4,65.1,(±6.4),339,,NaN,75.2,67.2,81.8,(±7.3),249,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Alaska,17.1,12.7,22.7,(±5),262,,NaN,49.1,42.2,56.1,(±7),278,,NaN,45.3,38.3,52.5,(±7.1),299,,NaN,47.3,39.7,55.1,(±7.8),186,,NaN,55.3,48.0,62.3,(±7.2),240,,NaN,78.8,72.2,84.2,(±6),222,,NaN,84.5,78.2,89.2,(±5.5),250,,NaN,78.4,71.3,84.2,(±6.5),192,,NaN,81.5,75.9,86.1,(±5.1),269,,85.0,79.4,89.3,(±4.9),278,,NaN,83.8,77.6,88.5,(±5.4),298,,NaN,85.8,80.5,89.8,(±4.7),299,,87.7,82.1,91.7,(±4.8),276,,NaN,83.5,78.0,87.9,(±4.9),295,,NaN,87.1,81.8,91.0,(±4.6),288,
Arizona,13.7,10.9,16.9,(±3),558,,NaN,42.2,37.6,47.0,(±4.7),612,,NaN,42.5,37.6,47.4,(±4.9),603,,NaN,47.1,41.2,53.1,(±5.9),432,,NaN,52.1,47.0,57.1,(±5),518,,NaN,73.7,66.5,79.8,(±6.6),275,,NaN,85.2,79.0,89.8,(±5.4),275,,NaN,86.6,81.5,90.5,(±4.5),317,,NaN,85.0,79.2,89.4,(±5.1),299,,87.5,80.5,92.2,(±5.7),279,,NaN,86.3,80.4,90.7,(±5.1),272,,NaN,88.8,83.3,92.7,(±4.6),254,,85.9,79.0,90.8,(±5.9),292,,NaN,87.2,81.2,91.6,(±5.1),266,,NaN,86.0,78.8,91.0,(±6),230,
AZ-Maricopa County,15.8,12.1,20.4,(±4.2),290,,NaN,46.6,40.4,52.9,(±6.3),318,,NaN,47.2,40.8,53.7,(±6.5),325,,NaN,49.4,41.6,57.3,(±7.9),222,,NaN,54.7,48.2,61.0,(±6.4),294,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
AZ-Rest of State,10.0,6.6,14.7,(±4),268,,NaN,34.1,27.6,41.3,(±6.9),294,,NaN,33.7,26.8,41.4,(±7.3),278,,NaN,42.7,34.5,51.3,(±8.4),210,,NaN,47.3,39.4,55.3,(±8),224,,NaN,73.7,66.5,79.8,(±6.6),275,,NaN,85.2,79.0,89.8,(±5.4),275,,NaN,86.6,81.5,90.5,(±4.5),317,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
Arkansas,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,18.7,13.9,24.8,(±5.5),347,,NaN,43.8,37.3,50.5,(±6.6),347,,NaN,51.6,44.5,58.7,(±7.2),298,,NaN,59.1,52.1,65.9,(±6.9),341,,63.0,55.1,70.2,(±7.6),322,,NaN,68.6,60.9,75.4,(±7.3),274,,NaN,69.1,60.5,76.6,(±8.1),188,,78.2,69.5,84.9,(±7.7),245,,NaN,85.1,78.3,90.1,(±5.9),229,,NaN,92.1,87.4,95.1,(±3.8),229,
California,16.0,13.1,19.4,(±3.2),1101,,NaN,35.7,31.7,40.1,(±4.2),1074,,NaN,39.3,35.0,43.8,(±4.4),1144,,NaN,43.1,38.0,48.3,(±5.2),816,,NaN,55.9,51.0,60.8,(±4.9),1548,,NaN,73.2,67.4,78.2,(±5.4),1000,,NaN,85.7,81.7,88.9,(±3.6),950,,NaN,83.4,78.5,87.3,(±4.4),386,,NaN,82.0,75.9,86.8,(±5.5),411,,88.0,84.0,91.2,(±3.6),407,,NaN,86.0,79.5,90.6,(±5.5),316,,NaN,84.5,76.8,90.0,(±6.5),283,,87.1,80.5,91.6,(±5.5),300,,NaN,87.9,81.5,92.3,(±5.4),345,,NaN,85.3,78.2,90.4,(±6.1),328,
CA-Alameda County,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,42.5,34.1,51.3,(±8.7),185,,NaN,,NaN,NaN,NA,,,NaN,72.9,66.5,78.5,(±6),298,,NaN,,NaN,NaN,NA,,,NaN,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,
