Names,1995,LL,UL,CI,SAMPLE SIZE,TARGET,1996,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,1997,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,1998,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,1999,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2000,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2001,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2002,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2003,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2004,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2005,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2006,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2007,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2008,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2009,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2010,LL,UL,CI,SAMPLE SIZE,TARGET,2011,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2012,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2013,LL,UL,CI,SAMPLE SIZE,TARGET,2014,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2015,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2016,LL,UL,CI,SAMPLE SIZE,TARGET
Alabama,61.8,54.3,68.8,(±7.3),419,90.0,80.8,75.6,85.1,(±4.8),574,90.0,NaN,85.6,81.4,89.0,(±3.8),589,90.0,NaN,86.4,82.4,89.6,(±3.6),545,90.0,NaN,90.6,86.4,93.6,(±3.5),568,90.0,NaN,90.1,85.5,93.3,(±3.8),580,90.0,NaN,92.0,89.1,94.1,(±2.5),592,90.0,NaN,91.7,87.8,94.4,(±3.2),525,90.0,NaN,93.6,89.4,96.2,(±3.3),532,90.0,NaN,93.6,88.5,96.5,(±3.8),515,90.0,NaN,94.4,90.7,96.7,(±2.9),419,90.0,NaN,95.2,91.5,97.3,(±2.8),269,90.0,NaN,95.1,91.2,97.3,(±2.9),254,90.0,NaN,91.0,85.9,94.4,(±4.2),339,90.0,NaN,92.9,87.5,96.1,(±4.1),249,90.0,NaN,89.9,85.3,93.1,(±3.8),336,90.0,91.2,87.1,94.1,(±3.5),399,90.0,NaN,90.4,85.8,93.6,(±3.9),265,90.0,NaN,89.8,81.9,94.5,(±6.1),166,90.0,92.7,85.7,96.4,(±5.1),237,90.0,NaN,92.4,87.5,95.4,(±3.9),272,90.0,NaN,92.0,86.1,95.5,(±4.5),249,90.0
AL-Jefferson County,59.3,51.9,66.4,(±7.3),213,90.0,86.5,80.9,90.7,(±4.8),273,90.0,NaN,90.0,85.8,93.1,(±3.6),286,90.0,NaN,85.6,80.3,89.6,(±4.6),260,90.0,NaN,90.9,86.8,93.8,(±3.5),264,90.0,NaN,93.5,89.1,96.2,(±3.4),294,90.0,NaN,86.8,80.7,91.2,(±5.2),277,90.0,NaN,89.2,83.9,92.9,(±4.4),258,90.0,NaN,95.0,91.4,97.2,(±2.8),252,90.0,NaN,91.0,84.5,95.0,(±5.1),273,90.0,NaN,94.0,89.6,96.6,(±3.3),208,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90.0
AL-Rest of State,62.3,53.4,70.4,(±8.6),206,90.0,79.8,73.7,84.8,(±5.5),301,90.0,NaN,84.8,79.8,88.8,(±4.5),303,90.0,NaN,86.5,81.8,90.1,(±4.1),285,90.0,NaN,90.5,85.6,93.9,(±4.1),304,90.0,NaN,89.5,84.1,93.2,(±4.5),286,90.0,NaN,92.9,89.5,95.2,(±2.8),315,90.0,NaN,92.1,87.5,95.1,(±3.7),267,90.0,NaN,93.3,88.4,96.3,(±3.8),280,90.0,NaN,94.0,87.8,97.2,(±4.4),242,90.0,NaN,94.4,89.9,97.0,(±3.4),211,90.0,NaN,95.2,91.5,97.3,(±2.8),269,90.0,NaN,95.1,91.2,97.3,(±2.9),254,90.0,NaN,91.0,85.9,94.4,(±4.2),339,90.0,NaN,92.9,87.5,96.1,(±4.1),249,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90.0
Alaska,68.2,60.7,74.8,(±7.1),195,90.0,83.0,77.6,87.3,(±4.8),263,90.0,NaN,87.0,82.4,90.5,(±4.1),293,90.0,NaN,84.6,79.8,88.4,(±4.3),305,90.0,NaN,88.8,84.7,91.9,(±3.6),351,90.0,NaN,82.4,77.1,86.7,(±4.8),295,90.0,NaN,84.3,79.2,88.4,(±4.6),292,90.0,NaN,88.8,83.2,92.7,(±4.7),262,90.0,NaN,90.3,85.8,93.4,(±3.8),278,90.0,NaN,90.1,84.3,93.9,(±4.7),299,90.0,NaN,88.1,82.1,92.3,(±5),186,90.0,NaN,90.1,84.8,93.7,(±4.3),240,90.0,NaN,93.9,89.4,96.5,(±3.5),222,90.0,NaN,93.1,88.6,95.9,(±3.5),250,90.0,NaN,92.2,86.9,95.4,(±4.1),192,90.0,NaN,91.8,87.7,94.6,(±3.4),269,90.0,93.3,88.9,96.1,(±3.5),278,90.0,NaN,90.2,84.7,93.9,(±4.5),298,90.0,NaN,92.7,88.5,95.4,(±3.4),299,90.0,92.6,87.6,95.7,(±3.9),276,90.0,NaN,90.5,86.1,93.6,(±3.7),295,90.0,NaN,90.3,85.3,93.7,(±4.1),288,90.0
Arizona,68.9,63.2,74.2,(±5.5),374,90.0,79.5,75.2,83.2,(±4),517,90.0,NaN,77.9,73.7,81.6,(±4),560,90.0,NaN,83.1,79.0,86.5,(±3.7),522,90.0,NaN,83.9,79.6,87.5,(±3.9),569,90.0,NaN,85.8,81.8,89.0,(±3.6),595,90.0,NaN,85.4,81.8,88.4,(±3.3),592,90.0,NaN,89.2,85.5,92.0,(±3.3),558,90.0,NaN,92.1,89.3,94.3,(±2.5),612,90.0,NaN,89.9,86.3,92.7,(±3.2),603,90.0,NaN,91.0,87.2,93.8,(±3.2),432,90.0,NaN,88.1,84.2,91.2,(±3.5),518,90.0,NaN,92.0,87.1,95.2,(±3.9),275,90.0,NaN,94.2,90.4,96.5,(±3),275,90.0,NaN,89.0,84.0,92.6,(±4.3),317,90.0,NaN,91.8,87.2,94.8,(±3.7),299,90.0,87.0,79.7,92.0,(±6.1),279,90.0,NaN,90.5,85.5,93.9,(±4.1),272,90.0,NaN,88.4,83.0,92.3,(±4.6),254,90.0,84.4,77.2,89.7,(±6.2),292,90.0,NaN,90.1,85.1,93.6,(±4.2),266,90.0,NaN,87.9,81.0,92.5,(±5.7),230,90.0
AZ-Maricopa County,73.4,65.2,80.2,(±7.5),183,90.0,80.1,74.0,85.1,(±5.5),252,90.0,NaN,77.0,70.9,82.1,(±5.6),272,90.0,NaN,84.1,78.2,88.6,(±5.2),244,90.0,NaN,81.8,75.5,86.8,(±5.6),253,90.0,NaN,84.3,78.5,88.8,(±5.1),307,90.0,NaN,85.0,80.0,89.0,(±4.5),295,90.0,NaN,89.6,84.1,93.3,(±4.5),290,90.0,NaN,92.1,88.0,94.9,(±3.4),318,90.0,NaN,90.1,85.5,93.3,(±3.8),325,90.0,NaN,92.0,87.0,95.2,(±4),222,90.0,NaN,86.5,81.1,90.6,(±4.7),294,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90.0
AZ-Rest of State,62.8,54.4,70.4,(±8.1),191,90.0,78.7,72.6,83.8,(±5.6),265,90.0,NaN,79.3,73.5,84.1,(±5.3),288,90.0,NaN,81.5,76.0,86.0,(±5),278,90.0,NaN,87.4,81.8,91.5,(±4.8),316,90.0,NaN,88.2,83.0,92.0,(±4.4),288,90.0,NaN,85.9,80.7,89.9,(±4.6),297,90.0,NaN,88.5,83.7,92.0,(±4.1),268,90.0,NaN,92.2,88.3,94.8,(±3.2),294,90.0,NaN,89.7,82.7,94.1,(±5.5),278,90.0,NaN,89.1,82.3,93.6,(±5.5),210,90.0,NaN,91.1,85.1,94.8,(±4.7),224,90.0,NaN,92.0,87.1,95.2,(±3.9),275,90.0,NaN,94.2,90.4,96.5,(±3),275,90.0,NaN,89.0,84.0,92.6,(±4.3),317,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90.0
Arkansas,72.1,65.3,77.9,(±6.3),237,90.0,83.1,76.6,88.0,(±5.7),265,90.0,NaN,88.2,83.8,91.5,(±3.8),334,90.0,NaN,84.1,79.3,88.0,(±4.3),311,90.0,NaN,82.4,75.6,87.7,(±6),291,90.0,NaN,86.1,80.8,90.1,(±4.6),298,90.0,NaN,86.2,81.4,89.9,(±4.2),392,90.0,NaN,91.6,88.0,94.2,(±3),286,90.0,NaN,93.5,89.0,96.3,(±3.5),253,90.0,NaN,94.7,89.8,97.3,(±3.5),270,90.0,NaN,87.9,80.0,92.9,(±6.4),174,90.0,NaN,90.9,83.5,95.1,(±5.6),207,90.0,NaN,92.4,87.5,95.5,(±3.9),347,90.0,NaN,94.3,90.3,96.7,(±3.1),347,90.0,NaN,89.8,85.1,93.1,(±3.9),298,90.0,NaN,93.7,89.1,96.5,(±3.5),341,90.0,90.0,84.7,93.6,(±4.4),322,90.0,NaN,89.0,83.2,92.9,(±4.8),274,90.0,NaN,88.6,80.7,93.5,(±6.2),188,90.0,91.3,86.0,94.7,(±4.3),245,90.0,NaN,94.4,90.3,96.8,(±3.1),229,90.0,NaN,94.5,90.7,96.8,(±2.9),229,90.0
California,74.4,69.1,79.0,(±5),687,90.0,80.3,76.6,83.5,(±3.4),1056,90.0,NaN,81.0,77.3,84.2,(±3.4),1104,90.0,NaN,86.9,83.8,89.5,(±2.9),1014,90.0,NaN,86.9,83.3,89.8,(±3.2),1131,90.0,NaN,90.2,87.7,92.3,(±2.3),1241,90.0,NaN,89.2,86.3,91.6,(±2.6),1266,90.0,NaN,88.2,84.9,90.9,(±3),1101,90.0,NaN,90.4,87.3,92.9,(±2.8),1074,90.0,NaN,90.4,87.4,92.7,(±2.6),1144,90.0,NaN,92.6,90.0,94.6,(±2.3),816,90.0,NaN,95.0,93.1,96.4,(±1.7),1548,90.0,NaN,91.6,87.8,94.3,(±3.2),1000,90.0,NaN,94.7,91.5,96.7,(±2.5),950,90.0,NaN,90.3,86.0,93.4,(±3.7),386,90.0,NaN,90.1,85.6,93.3,(±3.8),411,90.0,90.3,86.6,93.1,(±3.2),407,90.0,NaN,89.1,84.1,92.7,(±4.2),316,90.0,NaN,91.1,84.4,95.1,(±5.2),283,90.0,92.2,87.0,95.4,(±4.1),300,90.0,NaN,94.3,89.8,96.9,(±3.4),345,90.0,NaN,84.6,76.8,90.1,(±6.6),328,90.0
CA-Alameda County,,NaN,NaN,NA,,90.0,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,85.4,76.8,91.2,(±7.1),185,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,90.8,85.2,94.5,(±4.5),298,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90.0
