Names,1995,LL,UL,CI,SAMPLE SIZE,TARGET,1996,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,1997,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,1998,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,1999,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2000,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2001,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2002,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2003,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2004,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2005,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2006,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2007,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2008,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2009,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2010,LL,UL,CI,SAMPLE SIZE,TARGET,2011,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2012,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2013,LL,UL,CI,SAMPLE SIZE,TARGET,2014,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2015,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2016,LL,UL,CI,SAMPLE SIZE,TARGET
Alabama,86.3,80.2,90.7,(±5.2),419,90.0,88.2,83.6,91.7,(±4),574,90.0,NaN,95.8,93.7,97.2,(±1.7),589,90.0,NaN,91.6,88.0,94.2,(±3.1),545,90.0,NaN,87.0,82.5,90.5,(±4),568,90.0,NaN,90.4,86.2,93.4,(±3.6),580,90.0,NaN,92.4,88.8,94.9,(±3),592,90.0,NaN,89.0,84.4,92.4,(±4),525,90.0,NaN,90.4,85.6,93.8,(±4),532,90.0,NaN,92.1,87.1,95.3,(±4),515,90.0,NaN,91.6,86.3,95.0,(±4.3),419,90.0,NaN,94.0,89.3,96.7,(±3.6),269,90.0,NaN,94.9,90.8,97.3,(±3.1),254,90.0,NaN,92.1,87.1,95.3,(±4),339,90.0,NaN,96.6,93.3,98.3,(±2.3),249,90.0,NaN,95.3,92.1,97.2,(±2.5),336,90.0,96.2,93.6,97.8,(±2.0),399,90.0,NaN,94.2,90.5,96.6,(±2.9),265,90.0,NaN,93.3,85.9,97.0,(±5.2),166,90.0,90.5,82.7,95.0,(±6.0),237,90.0,NaN,95.1,91.2,97.3,(±2.9),272,90.0,NaN,92.0,86.0,95.6,(±4.6),249,90.0
AL-Jefferson County,92.7,87.7,95.8,(±3.9),213,90.0,89.0,84.0,92.5,(±4.2),273,90.0,NaN,94.0,90.6,96.3,(±2.8),286,90.0,NaN,92.9,88.8,95.6,(±3.3),260,90.0,NaN,91.8,87.4,94.8,(±3.6),264,90.0,NaN,90.9,85.9,94.2,(±4.1),294,90.0,NaN,92.4,87.5,95.5,(±3.9),277,90.0,NaN,88.2,82.8,92.0,(±4.5),258,90.0,NaN,91.3,86.4,94.5,(±3.9),252,90.0,NaN,88.5,82.1,92.9,(±5.3),273,90.0,NaN,93.5,88.4,96.4,(±3.8),208,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90.0
AL-Rest of State,85.1,77.9,90.2,(±6.1),206,90.0,88.1,82.6,92.0,(±4.7),301,90.0,NaN,96.1,93.6,97.7,(±2),303,90.0,NaN,91.3,87.1,94.3,(±3.6),285,90.0,NaN,86.2,80.8,90.2,(±4.7),304,90.0,NaN,90.3,85.3,93.8,(±4.2),286,90.0,NaN,92.3,88.1,95.2,(±3.4),315,90.0,NaN,89.2,83.6,93.0,(±4.6),267,90.0,NaN,90.3,84.5,94.1,(±4.7),280,90.0,NaN,92.8,86.6,96.2,(±4.6),242,90.0,NaN,91.3,84.9,95.2,(±5),211,90.0,NaN,94.0,89.3,96.7,(±3.6),269,90.0,NaN,94.9,90.8,97.3,(±3.1),254,90.0,NaN,92.1,87.1,95.3,(±4),339,90.0,NaN,96.6,93.3,98.3,(±2.3),249,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90.0
Alaska,85.7,78.5,90.8,(±6.1),195,90.0,87.1,81.8,91.1,(±4.6),263,90.0,NaN,91.2,87.1,94.1,(±3.5),293,90.0,NaN,90.8,86.9,93.6,(±3.3),305,90.0,NaN,91.3,87.2,94.1,(±3.4),351,90.0,NaN,87.4,82.5,91.0,(±4.2),295,90.0,NaN,84.3,79.0,88.5,(±4.7),292,90.0,NaN,86.6,80.9,90.8,(±4.9),262,90.0,NaN,90.9,86.4,94.0,(±3.7),278,90.0,NaN,88.3,82.2,92.6,(±5.1),299,90.0,NaN,89.1,83.1,93.1,(±4.9),186,90.0,NaN,89.7,84.4,93.3,(±4.4),240,90.0,NaN,92.9,88.4,95.8,(±3.6),222,90.0,NaN,91.9,87.2,94.9,(±3.8),250,90.0,NaN,91.6,86.1,95.1,(±4.4),192,90.0,NaN,90.4,85.9,93.5,(±3.7),269,90.0,93.3,88.8,96.1,(±3.5),278,90.0,NaN,90.4,84.8,94.1,(±4.5),298,90.0,NaN,92.0,87.6,95.0,(±3.6),299,90.0,91.6,86.5,94.9,(±4.1),276,90.0,NaN,91.9,87.8,94.7,(±3.4),295,90.0,NaN,88.2,82.8,92.0,(±4.5),288,90.0
Arizona,86.1,80.9,90.0,(±4.5),374,90.0,88.3,84.6,91.2,(±3.3),517,90.0,NaN,85.4,81.6,88.5,(±3.4),560,90.0,NaN,88.8,85.4,91.4,(±3),522,90.0,NaN,83.9,79.6,87.5,(±4),569,90.0,NaN,87.1,83.2,90.3,(±3.5),595,90.0,NaN,86.0,82.5,89.0,(±3.2),592,90.0,NaN,86.5,82.3,89.8,(±3.7),558,90.0,NaN,89.4,86.0,92.0,(±3),612,90.0,NaN,91.0,87.4,93.6,(±3),603,90.0,NaN,89.2,85.2,92.3,(±3.5),432,90.0,NaN,88.4,84.5,91.5,(±3.4),518,90.0,NaN,90.6,84.5,94.5,(±4.9),275,90.0,NaN,92.4,86.9,95.7,(±4.2),275,90.0,NaN,93.0,88.8,95.7,(±3.3),317,90.0,NaN,91.5,86.6,94.8,(±4.0),299,90.0,93.8,90.2,96.2,(±2.9),279,90.0,NaN,92.2,86.8,95.5,(±4.2),272,90.0,NaN,91.2,85.7,94.6,(±4.3),254,90.0,88.7,82.0,93.1,(±5.5),292,90.0,NaN,92.4,87.5,95.5,(±3.9),266,90.0,NaN,89.2,82.8,93.5,(±5.3),230,90.0
AZ-Maricopa County,86.2,78.7,91.4,(±6.3),183,90.0,88.2,82.9,92.0,(±4.5),252,90.0,NaN,84.0,78.3,88.3,(±5),272,90.0,NaN,89.8,85.1,93.1,(±3.9),244,90.0,NaN,82.8,76.5,87.7,(±5.6),253,90.0,NaN,85.8,79.9,90.2,(±5.1),307,90.0,NaN,86.6,81.7,90.4,(±4.3),295,90.0,NaN,87.1,81.0,91.5,(±5.2),290,90.0,NaN,89.9,85.3,93.2,(±3.9),318,90.0,NaN,91.6,87.2,94.6,(±3.6),325,90.0,NaN,89.5,83.9,93.3,(±4.6),222,90.0,NaN,87.8,82.5,91.7,(±4.6),294,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90.0
AZ-Rest of State,85.9,78.3,91.1,(±6.3),191,90.0,88.4,82.9,92.3,(±4.6),265,90.0,NaN,87.7,82.7,91.3,(±4.3),288,90.0,NaN,87.2,81.8,91.1,(±4.6),278,90.0,NaN,85.8,79.9,90.1,(±5.1),316,90.0,NaN,89.5,84.8,92.8,(±3.9),288,90.0,NaN,85.0,79.8,89.1,(±4.6),297,90.0,NaN,85.2,79.9,89.4,(±4.7),268,90.0,NaN,88.5,83.1,92.4,(±4.6),294,90.0,NaN,89.9,83.0,94.2,(±5.4),278,90.0,NaN,88.7,82.3,93.0,(±5.2),210,90.0,NaN,89.6,83.6,93.6,(±4.9),224,90.0,NaN,90.6,84.5,94.5,(±4.9),275,90.0,NaN,92.4,86.9,95.7,(±4.2),275,90.0,NaN,93.0,88.8,95.7,(±3.3),317,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90.0
Arkansas,90.3,84.7,94.0,(±4.6),237,90.0,88.5,82.4,92.7,(±5.1),265,90.0,NaN,90.5,86.0,93.7,(±3.8),334,90.0,NaN,89.8,85.5,93.0,(±3.7),311,90.0,NaN,87.4,80.4,92.2,(±5.8),291,90.0,NaN,87.0,81.2,91.3,(±5),298,90.0,NaN,88.3,83.8,91.7,(±3.9),392,90.0,NaN,92.9,89.5,95.2,(±2.8),286,90.0,NaN,93.8,89.7,96.3,(±3.2),253,90.0,NaN,94.3,88.4,97.3,(±4.2),270,90.0,NaN,84.6,76.0,90.5,(±7.2),174,90.0,NaN,89.6,82.3,94.1,(±5.8),207,90.0,NaN,90.2,84.8,93.9,(±4.5),347,90.0,NaN,91.6,86.3,95.0,(±4.2),347,90.0,NaN,89.9,85.1,93.2,(±4),298,90.0,NaN,91.8,86.6,95.0,(±4.1),341,90.0,95.8,92.8,97.6,(±2.3),322,90.0,NaN,93.0,87.5,96.2,(±4.2),274,90.0,NaN,89.4,81.3,94.3,(±6.3),188,90.0,92.4,87.4,95.5,(±3.9),245,90.0,NaN,91.9,86.2,95.3,(±4.4),229,90.0,NaN,93.7,89.1,96.4,(±3.5),229,90.0
California,86.7,82.4,90.1,(±3.8),687,90.0,90.8,88.0,92.9,(±2.4),1056,90.0,NaN,89.6,87.0,91.8,(±2.4),1104,90.0,NaN,88.1,84.8,90.7,(±2.9),1014,90.0,NaN,89.9,86.7,92.4,(±2.8),1131,90.0,NaN,87.5,84.3,90.2,(±2.9),1241,90.0,NaN,88.0,84.4,90.9,(±3.2),1266,90.0,NaN,90.3,87.3,92.7,(±2.6),1101,90.0,NaN,91.2,88.1,93.6,(±2.7),1074,90.0,NaN,90.6,87.6,92.9,(±2.7),1144,90.0,NaN,90.5,87.2,93.0,(±2.9),816,90.0,NaN,93.9,91.3,95.8,(±2.2),1548,90.0,NaN,92.3,88.5,94.9,(±3.1),1000,90.0,NaN,95.7,93.1,97.3,(±2),950,90.0,NaN,91.8,87.6,94.7,(±3.5),386,90.0,NaN,91.0,86.7,94.0,(±3.6),411,90.0,94.1,91.0,96.1,(±2.5),407,90.0,NaN,92.0,87.4,95.0,(±3.7),316,90.0,NaN,90.5,83.6,94.7,(±5.4),283,90.0,94.1,89.4,96.8,(±3.6),300,90.0,NaN,96.3,93.0,98.1,(±2.4),345,90.0,NaN,87.3,80.2,92.2,(±5.9),328,90.0
CA-Alameda County,,NaN,NaN,NA,,90.0,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,87.9,78.9,93.4,(±7.1),185,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,92.1,87.6,95.0,(±3.7),298,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,,NaN,NaN,NA,,90.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90.0
